,x
1, cen
2,NA
3, Nin
4,SST 
534,25.4
535,25.7
536,26.2
537,26.5
538,26.9
539,27.5
540,27.6
541,27.4
542,27.5
543,27.5
544,27.3
545,27.2
546,26.6
547,26.4
548,26.3
549,26.0
550,25.9
551,25.8
552,25.5
553,25.6
554,25.2
555,24.9
556,24.9
557,24.7
558,24.5
559,24.4
560,24.3
561,24.5
562,24.4
563,24.3
564,24.2
565,24.4
566,24.7
567,24.4
568,24.3
569,24.3
570,24.2
571,24.0
572,24.2
573,24.1
574,24.4
575,24.4
576,24.5
577,24.4
578,24.4
579,24.5
580,24.7
581,25.1
582,25.3
583,25.4
584,25.8
585,25.9
586,26.4
587,26.7
588,27.1
589,27.2
590,27.4
591,27.4
592,27.6
593,27.7
594,27.7
595,27.2
596,27.1
597,27.0
598,26.7
599,26.9
600,26.7
601,26.7
602,26.3
603,26.4
604,25.9
605,25.6
606,25.5
607,25.5
608,25.2
609,25.0
610,25.0
611,24.7
612,24.6
613,24.3
614,24.4
615,24.2
616,24.2
617,24.3
618,24.4
619,24.4
620,24.5
621,24.5
622,24.5
623,24.3
624,24.3
625,24.3
626,24.4
627,24.5
628,24.5
629,24.6
630,24.8
631,24.8
632,25.0
633,25.0
634,25.3
635,25.5
636,26.0
637,26.2
638,26.4
639,26.7
640,27.1
641,27.2
642,27.3
643,27.4
644,27.6
645,27.8
646,27.6
647,27.3
648,27.4
649,27.3
650,27.2
651,27.1
652,27.4
653,27.3
654,27.1
655,27.0
656,26.9
657,26.6
658,26.3
659,26.0
660,25.7
661,25.5
662,25.3
663,25.5
664,25.5
665,25.6
666,25.4
667,25.5
668,25.5
669,25.7
670,25.7
671,25.6
672,25.7
673,26.0
674,26.3
675,26.2
676,26.3
677,26.5
678,26.4
679,26.6
680,26.5
681,26.5
682,26.3
683,26.6
684,26.3
685,26.3
686,26.5
687,26.3
688,26.4
689,26.6
690,27.0
691,26.8
692,27.0
693,27.2
694,27.6
695,27.4
696,27.2
